"filename","accuracy","balanced_accuracy","macro_f1","true_negatives","false_positives","false_negatives","true_positives","precision_f","recall_f","f1-score_f","support_f","precision_s","recall_s","f1-score_s","support_s","support_s","phase","Stroke"
"FJ_R3_2024-06-29_1.csv_BALANCED",0.928571428571429,0.928571428571429,0.481481481481482,0,0,3,39,0,0,0,0,1,0.928571428571429,0.962962962962963,42,42,"Pre_Stroke","y"
"FU_R2_2024-06-29_1.csv_BALANCED",0.884615384615385,0.884615384615385,0.884444444444444,11,2,1,12,0.916666666666667,0.846153846153846,0.88,13,0.857142857142857,0.923076923076923,0.888888888888889,13,55,"Pre_Stroke","n"
"AZ_L3_2024-11-22_1.csv_BALANCED",0.875,0.875,0.873015873015873,3,1,0,4,1,0.75,0.857142857142857,4,0.8,1,0.888888888888889,4,46,"Pre_Stroke","y"
"FS_L2_2024-07-31_1.csv_BALANCED",0.85,0.85,0.846547314578005,7,3,0,10,1,0.7,0.823529411764706,10,0.769230769230769,1,0.869565217391304,10,31,"Late","y"
"FJ_L2_2024-07-29_1.csv_BALANCED",0.846153846153846,0.846153846153846,0.842424242424242,9,4,0,13,1,0.692307692307692,0.818181818181818,13,0.764705882352941,1,0.866666666666667,13,33,"Late","y"
"FJ_L3_2024-06-29_1.csv_BALANCED",0.833333333333333,0.833333333333333,0.833147942157953,12,3,2,13,0.857142857142857,0.8,0.827586206896552,15,0.8125,0.866666666666667,0.838709677419355,15,45,"Pre_Stroke","y"
"K_R2_2025-01-14_1.csv_BALANCED",0.821428571428571,0.821428571428571,0.819354838709677,10,4,1,13,0.909090909090909,0.714285714285714,0.8,14,0.764705882352941,0.928571428571429,0.838709677419355,14,60,"Pre_Stroke","y"
"AZ_L3_2024-12-16_1.csv_BALANCED",0.8125,0.8125,0.811764705882353,7,1,2,6,0.777777777777778,0.875,0.823529411764706,8,0.857142857142857,0.75,0.8,8,18,"early","y"
"FS_L2_2024-06-28_1.csv_BALANCED",0.795454545454545,0.795454545454545,0.794499221587961,16,6,3,19,0.842105263157895,0.727272727272727,0.780487804878049,22,0.76,0.863636363636364,0.808510638297872,22,64,"Pre_Stroke","y"
"K_R3_2025-01-13_1.csv_BALANCED",0.75,0.75,0.733333333333333,4,4,0,8,1,0.5,0.666666666666667,8,0.666666666666667,1,0.8,8,69,"Pre_Stroke","n"
"AZ_R2_2024-12-29_1.csv_BALANCED",0.75,0.75,0.733333333333333,1,1,0,2,1,0.5,0.666666666666667,2,0.666666666666667,1,0.8,2,26,"Late","n"
"FJ_L2_2024-06-29_1.csv_BALANCED",0.735294117647059,0.735294117647059,0.723577235772358,9,8,1,16,0.9,0.529411764705882,0.666666666666667,17,0.666666666666667,0.941176470588235,0.780487804878049,17,29,"Pre_Stroke","y"
"K_R3_2025-02-21_1.csv_BALANCED",0.705128205128205,0.705128205128205,0.693804403481823,20,19,4,35,0.833333333333333,0.512820512820513,0.634920634920635,39,0.648148148148148,0.897435897435897,0.752688172043011,39,39,"Late","n"
"FU_R2_2024-07-18_1.csv_BALANCED",0.6875,0.6875,0.653679653679654,3,5,0,8,1,0.375,0.545454545454545,8,0.615384615384615,1,0.761904761904762,8,47,"early","n"
"FJ_R2_2024-06-29_1.csv_BALANCED",0.68421052631579,0.684210526315789,0.676136363636364,20,18,6,32,0.769230769230769,0.526315789473684,0.625,38,0.64,0.842105263157895,0.727272727272727,38,48,"Pre_Stroke","y"
"AZ_R2_2024-11-22_1.csv_BALANCED",0.681818181818182,0.681818181818182,0.645977011494253,4,7,0,11,1,0.363636363636364,0.533333333333333,11,0.611111111111111,1,0.758620689655172,11,62,"Pre_Stroke","n"
"FJ_L3_2024-07-15_1.csv_BALANCED",0.607142857142857,0.607142857142857,0.580952380952381,5,9,2,12,0.714285714285714,0.357142857142857,0.476190476190476,14,0.571428571428571,0.857142857142857,0.685714285714286,14,35,"early","y"
"K_R2_2025-02-04_1.csv_BALANCED",0.596153846153846,0.596153846153846,0.517454706142289,5,21,0,26,1,0.192307692307692,0.32258064516129,26,0.553191489361702,1,0.712328767123288,26,56,"Late","y"
"AZ_L3_2024-12-29_1.csv_BALANCED",0.588235294117647,0.588235294117647,0.564102564102564,14,3,11,6,0.56,0.823529411764706,0.666666666666667,17,0.666666666666667,0.352941176470588,0.461538461538462,17,38,"Late","y"
"FJ_L3_2024-07-29_1.csv_BALANCED",0.574074074074074,0.574074074074074,0.513894324853229,6,21,2,25,0.75,0.222222222222222,0.342857142857143,27,0.543478260869565,0.925925925925926,0.684931506849315,27,27,"Late","y"
"AZ_R2_2024-12-14_1.csv_BALANCED",0.5625,0.5625,0.458937198067633,1,7,0,8,1,0.125,0.222222222222222,8,0.533333333333333,1,0.695652173913043,8,35,"early","n"
"K_R3_2025-02-04_1.csv_BALANCED",0.547619047619048,0.547619047619048,0.499686520376176,5,16,3,18,0.625,0.238095238095238,0.344827586206897,21,0.529411764705882,0.857142857142857,0.654545454545455,21,58,"early","n"
"FS_R2_2024-06-29_1.csv_BALANCED",0.538461538461538,0.538461538461538,0.527272727272727,5,8,4,9,0.555555555555556,0.384615384615385,0.454545454545455,13,0.529411764705882,0.692307692307692,0.6,13,87,"Pre_Stroke","y"
"FJ_R3_2024-07-15_1.csv_BALANCED",0.5,0.5,0.333333333333333,0,1,0,1,0,0,0,1,0.5,1,0.666666666666667,1,1,"early","y"
"FJ_L2_2024-07-15_1.csv_BALANCED",0.5,0.5,0.485714285714286,2,1,2,1,0.5,0.666666666666667,0.571428571428571,3,0.5,0.333333333333333,0.4,3,25,"early","y"
"FJ_R3_2024-07-29_1.csv_BALANCED",0.488095238095238,0.488095238095238,0.429113323850166,7,35,8,34,0.466666666666667,0.166666666666667,0.245614035087719,42,0.492753623188406,0.80952380952381,0.612612612612613,42,47,"Late","y"
"FJ_R2_2024-07-29_1.csv_BALANCED",0.333333333333333,0.333333333333333,0.25,0,3,1,2,0,0,0,3,0.4,0.666666666666667,0.5,3,3,"Late","y"
"FJ_R2_2024-07-15_1.csv_BALANCED",0.166666666666667,0.166666666666667,0.142857142857143,0,3,2,1,0,0,0,3,0.25,0.333333333333333,0.285714285714286,3,3,"early","y"
